A00.0||Cholera, zapricinena vibrio cholerae 01, biovar cholerae|
A00.1||Cholera, zapricinena vibrio cholerae 01, biovar eltor|
A00.9||Cholera, blizsie neurcena|
A01.0||Brusny tyfus|
A01.1||Paratyfus A|
A01.2||Paratyfus B|
A01.3||Paratyfus C|
A01.4||Paratyfus, blizsie neurceny|
A02.0||Salmonelova enteritida|
A02.1||Salmonelova sepsa|
A02.2||Lokalizovana salmonelova infekcia|
A02.8||Ina salmonelova infekcia, blizsie urcena|
A02.9||Salmonelova infekcia, blizsie neurcena|
A03.0||Sigeloza, zapricinena shigella dysenteriae|
A03.1||Sigeloza, zapricinena shigella flexneri|
A03.2||Sigeloza, zapricinena shigella boydii|
A03.3||Sigeloza, zapricinena shigella sonnei|
A03.8||Ine sigelozy|
A03.9||Sigeloza, blizsie neurcena|
A04.0||Infekcia, zapricinena enteropatogennou escherichia coli|
A04.1||Infekcia, zapricinena enterotoxikogennou escherichia coli|
A04.2||Infekcia, zapricinena enteroinvazivnou escherichia coli|
A04.3||Infekcia, zapricinena enterohemoragickou escherichia coli|
A04.4||Ine crevne infekcie, zapricinene escherichia coli|
A04.5||Enteritida, zapricinena kampylobakterom|
A04.6||Enteritida, zapricinena yersinia enterocolitica|
A04.7||Enterokolitida, zapricinena clostridium difficile|
A04.8||Ina bakteriova crevna infekcia, blizsie urcena|
A04.9||Bakteriova crevna infekcia, blizsie neurcena|
A05.0||Potravinova otrava stafylokokom|
A05.1||Botulizmus|
A05.2||Potravinova otrava, zapricinena clostridium perfringens (clostridium welchii)|
A05.3||Potravinova otrava, zapricinena vibrio parahaemolyticus|
A05.4||Potravinova otrava, zapricinena bacillus cereus|
A05.8||Ina blizsie urcena bakteriova otrava potravinami|
A05.9||Blizsie neurcena bakteriova otrava potravinami|
A06.0||Akutna amebova dyzenteria|
A06.1||Chronicka crevna ameboza|
A06.2||Amebova nedyzentericka kolitida|
A06.3||Crevny amebom|
A06.4||Amebovy absces pecene|
A06.5||Amebovy absces pluc (J99.8*)|
A06.6||Amebovy absces mozgu (G07*)|
A06.7||Kozna ameboza|
A06.8||Amebova infekcia na inych miestach|
A06.9||Blizsie neurcena ameboza|
A07.0||Balantidioza|
A07.1||Giardioza (lamblioza)|
A07.2||Kryptosporidioza|
A07.3||Izosporoza|
A07.8||Ina blizsie urcena protozoarna crevna choroba|
A07.9||Blizsie neurcena protozoarna crevna choroba|
A08.0||Rotavirusova enteritida|
A08.1||Akutna gastroenteropatia, zapricinena virusom norwalk|
A08.2||Adenovirusova enteritida|
A08.3||Ina virusova enteritida|
A08.4||Blizsie neurcena virusova crevna infekcia|
A08.5||Ine blizsie urcene crevne infekcie|
A09.0||Ina a blizsie neurcena gastroenteritida a kolitida infekcneho povodu|
A09.9||Blizsie neurcena gastroenteritida a kolitida|
A15.0||Tuberkuloza pluc, potvrdena mikroskopickym vysetrenim sputa, preukazana alebo nepreukazana kultivacne alebo molekulovobiologicky|
A15.1||Tuberkuloza pluc, potvrdena len kultivacne|
A15.2||Tuberkuloza pluc, potvrdena histologicky|
A15.3||Tuberkuloza pluc, potvrdena inymi a blizsie neurcenymi prostriedkami|
A15.4||Tuberkuloza vnutrohrudnikovych lymfatickych uzlin, potvrdena bakteriologicky, molekulovobiologicky alebo histologicky|
A15.5||Tuberkuloza hrtana, priedusnice a priedusiek, potvrdena bakteriologicky, molekulovobiologicky alebo histologicky|
A15.6||Tuberkulozna pleuritida, potvrdena bakteriologicky, molekulovobiologicky alebo histologicky|
A15.7||Primarna tuberkuloza dychacieho ustrojenstva, potvrdena bakteriologicky, molekulovobiologicky alebo histologicky|
A15.8||Ina tuberkuloza dychacieho ustrojenstva, potvrdena bakteriologicky, molekulovobiologicky alebo histologicky|
A15.9||Blizsie neurcena tuberkuloza dychacieho ustrojenstva, potvrdena bakteriologicky, molekulovobiologicky alebo histologicky|
A16.0||Tuberkuloza pluc, bakteriologicky, molekulovobiologicky a histologicky negativna|
A16.1||Tuberkuloza pluc, bez vykonania bakteriologickeho, molekulovobiologickeho a histologickeho vysetrenia|
A16.2||Tuberkuloza pluc, bez udaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdeni|
